index,ACC_DATE,COUNTY_DESC,COUNT_post,day_of_year,COUNT_pre,percentage_of_pre_covid,Day_of_Year,Year,percentage_of_pre_covid_smooth
59212,2022-07-19,Baltimore,47,200,14.99074074074074,313.526868437307,200,2022,105.11486021239178
59213,2022-07-19,Baltimore City,27,200,14.99074074074074,180.1111797405806,200,2022,109.80293554592915
59214,2022-07-19,Calvert,2,200,14.99074074074074,13.341568869672638,200,2022,103.88877299547745
59215,2022-07-19,Caroline,2,200,14.99074074074074,13.341568869672638,200,2022,92.27354426115936
59216,2022-07-19,Carroll,4,200,14.99074074074074,26.683137739345277,200,2022,92.7244386331991
59217,2022-07-19,Cecil,6,200,14.99074074074074,40.02470660901791,200,2022,93.83932374386382
59218,2022-07-19,Charles,6,200,14.99074074074074,40.02470660901791,200,2022,94.07712174931831
59219,2022-07-19,Dorchester,2,200,14.99074074074074,13.341568869672638,200,2022,93.86402538273306
59220,2022-07-19,Frederick,7,200,14.99074074074074,46.69549104385423,200,2022,94.10491109304621
59221,2022-07-19,Harford,3,200,14.99074074074074,20.012353304508956,200,2022,93.89490243131962
59222,2022-07-19,Howard,8,200,14.99074074074074,53.366275478690554,200,2022,93.26178874128121
59223,2022-07-19,Kent,1,200,14.99074074074074,6.670784434836319,200,2022,86.93358879664548
59224,2022-07-19,Montgomery,41,200,14.99074074074074,273.5021618282891,200,2022,82.27156459413057
59225,2022-07-19,Prince Georges,41,200,14.99074074074074,273.5021618282891,200,2022,81.67540486279995
59226,2022-07-19,Queen Annes,1,200,14.99074074074074,6.670784434836319,200,2022,80.99423890592021
59227,2022-07-19,Somerset,3,200,14.99074074074074,20.012353304508956,200,2022,80.98367327087314
59228,2022-07-19,St. Marys,3,200,14.99074074074074,20.012353304508956,200,2022,80.97310763582604
59229,2022-07-19,Talbot,3,200,14.99074074074074,20.012353304508956,200,2022,80.05901656273801
59230,2022-07-19,Washington,9,200,14.99074074074074,60.03705991352687,200,2022,81.83437053367867
59231,2022-07-19,Wicomico,4,200,14.99074074074074,26.683137739345277,200,2022,79.78735078469042
59232,2022-07-19,Worcester,4,200,14.99074074074074,26.683137739345277,200,2022,78.64385647374311
59233,2022-07-20,Allegany,1,201,14.663551401869158,6.8196303377947745,201,2022,76.38648253039031
59234,2022-07-20,Anne Arundel,22,201,14.663551401869158,150.031867431485,201,2022,81.16166341859622
59235,2022-07-20,Baltimore,62,201,14.663551401869158,422.8170809432759,201,2022,86.67207445531636
59236,2022-07-20,Baltimore City,32,201,14.663551401869158,218.22817080943278,201,2022,83.10404155913935
59237,2022-07-20,Calvert,7,201,14.663551401869158,47.73741236456342,201,2022,84.46940727844789
59238,2022-07-20,Caroline,2,201,14.663551401869158,13.639260675589549,201,2022,84.6981679414573
59239,2022-07-20,Carroll,2,201,14.663551401869158,13.639260675589549,201,2022,84.47516588544622
59240,2022-07-20,Cecil,4,201,14.663551401869158,27.278521351179098,201,2022,84.70680585195483
59241,2022-07-20,Charles,11,201,14.663551401869158,75.0159337157425,201,2022,82.31542839026628
59242,2022-07-20,Dorchester,2,201,14.663551401869158,13.639260675589549,201,2022,72.319174798209
59243,2022-07-20,Frederick,5,201,14.663551401869158,34.09815168897387,201,2022,67.45207386315546
59244,2022-07-20,Garrett,3,201,14.663551401869158,20.458891013384324,201,2022,67.68931793461252
59245,2022-07-20,Harford,6,201,14.663551401869158,40.91778202676865,201,2022,68.60852503984907
59246,2022-07-20,Howard,12,201,14.663551401869158,81.8355640535373,201,2022,70.44693925032213
59247,2022-07-20,Montgomery,31,201,14.663551401869158,211.40854047163796,201,2022,76.15973371240946
59248,2022-07-20,Prince Georges,56,201,14.663551401869158,381.89929891650735,201,2022,87.55555345599242
59249,2022-07-20,Queen Annes,4,201,14.663551401869158,27.278521351179098,201,2022,88.02011853870933
59250,2022-07-20,Somerset,1,201,14.663551401869158,6.8196303377947745,201,2022,86.69092318184067
59251,2022-07-20,St. Marys,3,201,14.663551401869158,20.458891013384324,201,2022,86.70580777213652
59252,2022-07-20,Washington,6,201,14.663551401869158,40.91778202676865,201,2022,86.29085799040578
59253,2022-07-20,Wicomico,6,201,14.663551401869158,40.91778202676865,201,2022,87.43242457680353
59254,2022-07-20,Worcester,6,201,14.663551401869158,40.91778202676865,201,2022,79.67961191675285
59255,2022-07-21,Allegany,1,202,14.267857142857142,7.008760951188986,202,2022,70.79649855418285
59256,2022-07-21,Anne Arundel,26,202,14.267857142857142,182.22778473091367,202,2022,76.64839856405209
59257,2022-07-21,Baltimore,52,202,14.267857142857142,364.45556946182734,202,2022,88.12983910262938
59258,2022-07-21,Baltimore City,40,202,14.267857142857142,280.35043804755946,202,2022,96.80777526073103
59259,2022-07-21,Calvert,2,202,14.267857142857142,14.017521902377972,202,2022,96.60794754732667
59260,2022-07-21,Caroline,3,202,14.267857142857142,21.02628285356696,202,2022,95.30758831199469
59261,2022-07-21,Carroll,5,202,14.267857142857142,35.04380475594493,202,2022,95.58627721254801
59262,2022-07-21,Cecil,3,202,14.267857142857142,21.02628285356696,202,2022,95.39771538302207
59263,2022-07-21,Charles,6,202,14.267857142857142,42.05256570713392,202,2022,96.57214656200003
59264,2022-07-21,Frederick,4,202,14.267857142857142,28.035043804755944,202,2022,92.5055857744424
59265,2022-07-21,Garrett,2,202,14.267857142857142,14.017521902377972,202,2022,78.87893380641248
59266,2022-07-21,Harford,12,202,14.267857142857142,84.10513141426785,202,2022,74.40816582657364
59267,2022-07-21,Howard,11,202,14.267857142857142,77.09637046307886,202,2022,75.38679776319083
59268,2022-07-21,Montgomery,29,202,14.267857142857142,203.2540675844806,202,2022,81.70729132682051
59269,2022-07-21,Prince Georges,43,202,14.267857142857142,301.3767209011264,202,2022,91.29854000100508
59270,2022-07-21,Queen Annes,2,202,14.267857142857142,14.017521902377972,202,2022,90.85650668604505
