HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
2,Carroll,Property Damage Crash,132
2,Cecil,Fatal Crash,6
2,Cecil,Injury Crash,59
2,Cecil,Property Damage Crash,196
2,Charles,Fatal Crash,11
2,Charles,Injury Crash,75
2,Charles,Property Damage Crash,277
2,Dorchester,Fatal Crash,1
2,Dorchester,Injury Crash,21
2,Dorchester,Property Damage Crash,67
2,Frederick,Fatal Crash,5
2,Frederick,Injury Crash,80
2,Frederick,Property Damage Crash,271
2,Garrett,Fatal Crash,1
2,Garrett,Injury Crash,21
2,Garrett,Property Damage Crash,60
2,Harford,Fatal Crash,8
2,Harford,Injury Crash,79
2,Harford,Property Damage Crash,298
2,Howard,Fatal Crash,11
2,Howard,Injury Crash,101
2,Howard,Property Damage Crash,346
2,Kent,Injury Crash,7
2,Kent,Property Damage Crash,31
2,Montgomery,Fatal Crash,8
2,Montgomery,Injury Crash,326
2,Montgomery,Property Damage Crash,1009
2,Prince Georges,Fatal Crash,24
2,Prince Georges,Injury Crash,532
2,Prince Georges,Property Damage Crash,2312
2,Queen Annes,Fatal Crash,2
2,Queen Annes,Injury Crash,27
2,Queen Annes,Property Damage Crash,81
2,Somerset,Fatal Crash,1
2,Somerset,Injury Crash,13
2,Somerset,Property Damage Crash,34
2,St. Marys,Fatal Crash,3
2,St. Marys,Injury Crash,49
2,St. Marys,Property Damage Crash,156
2,Talbot,Injury Crash,13
2,Talbot,Property Damage Crash,74
2,Washington,Fatal Crash,6
2,Washington,Injury Crash,54
2,Washington,Property Damage Crash,220
2,Wicomico,Injury Crash,60
2,Wicomico,Property Damage Crash,212
2,Worcester,Fatal Crash,4
2,Worcester,Injury Crash,50
2,Worcester,Property Damage Crash,211
3,Allegany,Fatal Crash,1
3,Allegany,Injury Crash,25
3,Allegany,Property Damage Crash,50
3,Anne Arundel,Fatal Crash,9
3,Anne Arundel,Injury Crash,183
3,Anne Arundel,Property Damage Crash,700
3,Baltimore,Fatal Crash,13
3,Baltimore,Injury Crash,332
3,Baltimore,Property Damage Crash,1543
3,Baltimore City,Fatal Crash,2
3,Baltimore City,Injury Crash,426
3,Baltimore City,Property Damage Crash,1553
3,Calvert,Fatal Crash,3
3,Calvert,Injury Crash,22
3,Calvert,Property Damage Crash,101
3,Caroline,Fatal Crash,3
3,Caroline,Injury Crash,12
3,Caroline,Property Damage Crash,30
3,Carroll,Fatal Crash,4
3,Carroll,Injury Crash,18
3,Carroll,Property Damage Crash,100
3,Cecil,Fatal Crash,1
3,Cecil,Injury Crash,35
3,Cecil,Property Damage Crash,168
3,Charles,Fatal Crash,6
3,Charles,Injury Crash,44
3,Charles,Property Damage Crash,239
3,Dorchester,Injury Crash,15
3,Dorchester,Property Damage Crash,59
3,Frederick,Fatal Crash,5
3,Frederick,Injury Crash,68
3,Frederick,Property Damage Crash,238
3,Garrett,Fatal Crash,2
3,Garrett,Injury Crash,6
3,Garrett,Property Damage Crash,42
3,Harford,Fatal Crash,2
3,Harford,Injury Crash,62
3,Harford,Property Damage Crash,214
3,Howard,Fatal Crash,9
3,Howard,Injury Crash,72
3,Howard,Property Damage Crash,282
3,Kent,Fatal Crash,1
3,Kent,Injury Crash,3
3,Kent,Property Damage Crash,19
3,Montgomery,Fatal Crash,8
3,Montgomery,Injury Crash,294
3,Montgomery,Property Damage Crash,957
3,Prince Georges,Fatal Crash,33
3,Prince Georges,Injury Crash,506
3,Prince Georges,Property Damage Crash,2114
3,Queen Annes,Injury Crash,13
3,Queen Annes,Property Damage Crash,67
3,Somerset,Injury Crash,11
3,Somerset,Property Damage Crash,24
3,St. Marys,Fatal Crash,2
3,St. Marys,Injury Crash,35
3,St. Marys,Property Damage Crash,118
3,Talbot,Fatal Crash,1
3,Talbot,Injury Crash,9
3,Talbot,Property Damage Crash,60
3,Washington,Fatal Crash,1
3,Washington,Injury Crash,52
3,Washington,Property Damage Crash,205
3,Wicomico,Fatal Crash,1
3,Wicomico,Injury Crash,40
3,Wicomico,Property Damage Crash,159
3,Worcester,Fatal Crash,5
3,Worcester,Injury Crash,27
3,Worcester,Property Damage Crash,129
4,Allegany,Injury Crash,23
4,Allegany,Property Damage Crash,62
4,Anne Arundel,Fatal Crash,7
4,Anne Arundel,Injury Crash,209
4,Anne Arundel,Property Damage Crash,631
4,Baltimore,Fatal Crash,8
4,Baltimore,Injury Crash,258
4,Baltimore,Property Damage Crash,1329
4,Baltimore City,Fatal Crash,4
4,Baltimore City,Injury Crash,318
4,Baltimore City,Property Damage Crash,1117
4,Calvert,Injury Crash,27
4,Calvert,Property Damage Crash,108
4,Caroline,Injury Crash,14
4,Caroline,Property Damage Crash,49
4,Carroll,Fatal Crash,4
4,Carroll,Injury Crash,32
4,Carroll,Property Damage Crash,105
4,Cecil,Fatal Crash,1
4,Cecil,Injury Crash,35
4,Cecil,Property Damage Crash,152
4,Charles,Fatal Crash,2
4,Charles,Injury Crash,67
4,Charles,Property Damage Crash,269
4,Dorchester,Injury Crash,10
4,Dorchester,Property Damage Crash,43
4,Frederick,Fatal Crash,9
4,Frederick,Injury Crash,81
4,Frederick,Property Damage Crash,282
4,Garrett,Fatal Crash,1
4,Garrett,Injury Crash,18
4,Garrett,Property Damage Crash,49
4,Harford,Fatal Crash,2
4,Harford,Injury Crash,58
4,Harford,Property Damage Crash,199
4,Howard,Fatal Crash,8
4,Howard,Injury Crash,87
4,Howard,Property Damage Crash,279
