HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
10,Baltimore,Property Damage Crash,3336
10,Calvert,Injury Crash,71
10,Calvert,Property Damage Crash,170
10,Howard,Fatal Crash,3
10,Howard,Injury Crash,186
10,Howard,Property Damage Crash,549
10,Montgomery,Fatal Crash,7
10,Montgomery,Injury Crash,898
10,Montgomery,Property Damage Crash,1809
11,Anne Arundel,Fatal Crash,10
11,Anne Arundel,Injury Crash,690
11,Anne Arundel,Property Damage Crash,1630
11,Baltimore,Fatal Crash,1
11,Baltimore,Injury Crash,1079
11,Baltimore,Property Damage Crash,3641
11,Calvert,Fatal Crash,2
11,Calvert,Injury Crash,76
11,Calvert,Property Damage Crash,192
11,Howard,Fatal Crash,3
11,Howard,Injury Crash,209
11,Howard,Property Damage Crash,597
11,Montgomery,Fatal Crash,2
11,Montgomery,Injury Crash,970
11,Montgomery,Property Damage Crash,1946
12,Anne Arundel,Fatal Crash,11
12,Anne Arundel,Injury Crash,893
12,Anne Arundel,Property Damage Crash,1844
12,Baltimore,Fatal Crash,3
12,Baltimore,Injury Crash,1275
12,Baltimore,Property Damage Crash,4874
12,Calvert,Fatal Crash,4
12,Calvert,Injury Crash,95
12,Calvert,Property Damage Crash,204
12,Howard,Fatal Crash,5
12,Howard,Injury Crash,233
12,Howard,Property Damage Crash,639
12,Montgomery,Fatal Crash,5
12,Montgomery,Injury Crash,1083
12,Montgomery,Property Damage Crash,2238
13,Anne Arundel,Fatal Crash,13
13,Anne Arundel,Injury Crash,835
13,Anne Arundel,Property Damage Crash,1950
13,Baltimore,Fatal Crash,11
13,Baltimore,Injury Crash,1228
13,Baltimore,Property Damage Crash,4114
13,Calvert,Fatal Crash,2
13,Calvert,Injury Crash,108
13,Calvert,Property Damage Crash,230
13,Howard,Fatal Crash,4
13,Howard,Injury Crash,219
13,Howard,Property Damage Crash,719
13,Montgomery,Fatal Crash,7
13,Montgomery,Injury Crash,1084
13,Montgomery,Property Damage Crash,2213
14,Anne Arundel,Fatal Crash,6
14,Anne Arundel,Injury Crash,921
14,Anne Arundel,Property Damage Crash,2147
14,Baltimore,Fatal Crash,17
14,Baltimore,Injury Crash,1508
14,Baltimore,Property Damage Crash,4558
14,Calvert,Fatal Crash,1
14,Calvert,Injury Crash,97
14,Calvert,Property Damage Crash,229
14,Howard,Fatal Crash,8
14,Howard,Injury Crash,283
14,Howard,Property Damage Crash,903
14,Montgomery,Fatal Crash,4
14,Montgomery,Injury Crash,1213
14,Montgomery,Property Damage Crash,2475
15,Anne Arundel,Fatal Crash,14
15,Anne Arundel,Injury Crash,1122
15,Anne Arundel,Property Damage Crash,2526
15,Baltimore,Fatal Crash,11
15,Baltimore,Injury Crash,1752
15,Baltimore,Property Damage Crash,5593
15,Calvert,Fatal Crash,2
15,Calvert,Injury Crash,121
15,Calvert,Property Damage Crash,251
15,Howard,Fatal Crash,4
15,Howard,Injury Crash,317
15,Howard,Property Damage Crash,1027
15,Montgomery,Fatal Crash,8
15,Montgomery,Injury Crash,1397
15,Montgomery,Property Damage Crash,2974
16,Anne Arundel,Fatal Crash,8
16,Anne Arundel,Injury Crash,1213
16,Anne Arundel,Property Damage Crash,2544
16,Baltimore,Fatal Crash,7
16,Baltimore,Injury Crash,1683
16,Baltimore,Property Damage Crash,5702
16,Calvert,Fatal Crash,2
16,Calvert,Injury Crash,114
16,Calvert,Property Damage Crash,256
16,Howard,Fatal Crash,6
16,Howard,Injury Crash,317
16,Howard,Property Damage Crash,1066
16,Montgomery,Fatal Crash,10
16,Montgomery,Injury Crash,1355
16,Montgomery,Property Damage Crash,2980
17,Anne Arundel,Fatal Crash,11
17,Anne Arundel,Injury Crash,1171
17,Anne Arundel,Property Damage Crash,2614
17,Baltimore,Fatal Crash,12
17,Baltimore,Injury Crash,1801
17,Baltimore,Property Damage Crash,5787
17,Calvert,Fatal Crash,6
17,Calvert,Injury Crash,143
17,Calvert,Property Damage Crash,267
17,Howard,Fatal Crash,6
17,Howard,Injury Crash,344
17,Howard,Property Damage Crash,1118
17,Montgomery,Fatal Crash,10
17,Montgomery,Injury Crash,1547
17,Montgomery,Property Damage Crash,2991
18,Anne Arundel,Fatal Crash,11
18,Anne Arundel,Injury Crash,912
18,Anne Arundel,Property Damage Crash,1990
18,Baltimore,Fatal Crash,7
18,Baltimore,Injury Crash,1507
18,Baltimore,Property Damage Crash,4853
18,Calvert,Fatal Crash,1
18,Calvert,Injury Crash,104
18,Calvert,Property Damage Crash,201
18,Howard,Fatal Crash,6
18,Howard,Injury Crash,276
18,Howard,Property Damage Crash,849
18,Montgomery,Fatal Crash,11
18,Montgomery,Injury Crash,1345
18,Montgomery,Property Damage Crash,2566
19,Anne Arundel,Fatal Crash,13
19,Anne Arundel,Injury Crash,677
19,Anne Arundel,Property Damage Crash,1499
19,Baltimore,Fatal Crash,14
19,Baltimore,Injury Crash,1122
19,Baltimore,Property Damage Crash,3736
19,Calvert,Injury Crash,72
19,Calvert,Property Damage Crash,181
19,Howard,Fatal Crash,8
19,Howard,Injury Crash,222
19,Howard,Property Damage Crash,655
19,Montgomery,Fatal Crash,7
19,Montgomery,Injury Crash,969
19,Montgomery,Property Damage Crash,1846
20,Anne Arundel,Fatal Crash,11
20,Anne Arundel,Injury Crash,632
20,Anne Arundel,Property Damage Crash,1354
20,Baltimore,Fatal Crash,12
20,Baltimore,Injury Crash,1002
20,Baltimore,Property Damage Crash,3233
20,Calvert,Fatal Crash,3
20,Calvert,Injury Crash,59
20,Calvert,Property Damage Crash,161
20,Howard,Fatal Crash,3
20,Howard,Injury Crash,164
20,Howard,Property Damage Crash,555
20,Montgomery,Fatal Crash,13
20,Montgomery,Injury Crash,749
20,Montgomery,Property Damage Crash,1497
21,Anne Arundel,Fatal Crash,16
21,Anne Arundel,Injury Crash,512
21,Anne Arundel,Property Damage Crash,1215
21,Baltimore,Fatal Crash,12
21,Baltimore,Injury Crash,813
21,Baltimore,Property Damage Crash,2914
21,Calvert,Fatal Crash,2
21,Calvert,Injury Crash,55
21,Calvert,Property Damage Crash,127
21,Howard,Fatal Crash,8
21,Howard,Injury Crash,159
21,Howard,Property Damage Crash,492
21,Montgomery,Fatal Crash,10
21,Montgomery,Injury Crash,686
21,Montgomery,Property Damage Crash,1422
22,Anne Arundel,Fatal Crash,11
22,Anne Arundel,Injury Crash,415
22,Anne Arundel,Property Damage Crash,1061
22,Baltimore,Fatal Crash,11
22,Baltimore,Injury Crash,760
22,Baltimore,Property Damage Crash,2472
22,Calvert,Fatal Crash,2
22,Calvert,Injury Crash,36
22,Calvert,Property Damage Crash,117
22,Howard,Fatal Crash,6
22,Howard,Injury Crash,141
22,Howard,Property Damage Crash,438
22,Montgomery,Fatal Crash,10
22,Montgomery,Injury Crash,483
22,Montgomery,Property Damage Crash,1197
23,Anne Arundel,Fatal Crash,4
23,Anne Arundel,Injury Crash,293
23,Anne Arundel,Property Damage Crash,965
23,Baltimore,Fatal Crash,10
23,Baltimore,Injury Crash,572
23,Baltimore,Property Damage Crash,2275
23,Calvert,Fatal Crash,1
23,Calvert,Injury Crash,33
23,Calvert,Property Damage Crash,114
23,Howard,Fatal Crash,7
23,Howard,Injury Crash,111
23,Howard,Property Damage Crash,426
23,Montgomery,Fatal Crash,11
23,Montgomery,Injury Crash,370
23,Montgomery,Property Damage Crash,1043
