COUNTY_DESC,Fatal Crash,Injury Crash,Property Damage Crash
Anne Arundel,216,14325,34052
Baltimore,200,22770,78884
Calvert,37,1559,3764
Howard,125,4439,14195
Montgomery,174,19421,40926
