MONTH,COUNTY_DESC,REPORT_TYPE,COUNT
10,Prince Georges,Property Damage Crash,9317
10,Queen Annes,Fatal Crash,5
10,Queen Annes,Injury Crash,154
10,Queen Annes,Property Damage Crash,391
11,Anne Arundel,Fatal Crash,27
11,Anne Arundel,Injury Crash,1777
11,Anne Arundel,Property Damage Crash,4377
11,Howard,Fatal Crash,9
11,Howard,Injury Crash,605
11,Howard,Property Damage Crash,1987
11,Montgomery,Fatal Crash,28
11,Montgomery,Injury Crash,2582
11,Montgomery,Property Damage Crash,5419
11,Prince Georges,Fatal Crash,58
11,Prince Georges,Injury Crash,2798
11,Prince Georges,Property Damage Crash,8960
11,Queen Annes,Fatal Crash,3
11,Queen Annes,Injury Crash,131
11,Queen Annes,Property Damage Crash,409
12,Anne Arundel,Fatal Crash,22
12,Anne Arundel,Injury Crash,1760
12,Anne Arundel,Property Damage Crash,4542
12,Howard,Fatal Crash,11
12,Howard,Injury Crash,591
12,Howard,Property Damage Crash,1917
12,Montgomery,Fatal Crash,22
12,Montgomery,Injury Crash,2456
12,Montgomery,Property Damage Crash,5595
12,Prince Georges,Fatal Crash,47
12,Prince Georges,Injury Crash,2708
12,Prince Georges,Property Damage Crash,8940
12,Queen Annes,Injury Crash,130
12,Queen Annes,Property Damage Crash,320
